,ffn=8,ffn=16,ffn=32,ffn=64,ffn=128,ffn=256,ffn=512,ffn=1024,ffn=2048,ffn=4096
n_encoder_lyrs=2,1.6463772324415356,1.6548213619452254,1.6533833283644455,1.6427627159998965,1.6440165996551515,1.6480441863720234,1.6331766816285942,1.6306573556019708,1.634646974160121,1.6373186074770412
n_encoder_lyrs=4,1.6480592654301571,1.6497839991862957,1.6605191276623654,1.657221824389238,1.6606848560846768,1.6504681027852572,1.6391275176635154,1.6304796484800483,1.631668298061077,1.6229942587705757
n_encoder_lyrs=6,1.6466213134618908,1.651562028664809,1.6626164766458367,1.662947044005761,1.6607739494397087,1.641206078345959,1.645539303926321,1.6410165905952454,1.6293426742920505,1.624806241805737
n_encoder_lyrs=8,1.6526437878608704,1.6533371971203732,1.6579951194616462,1.6573232357318584,1.655941939353943,1.6488192420739396,1.6387796108539288,1.635286068916321,1.6315150398474476,1.629501218979175
n_encoder_lyrs=10,1.6610428324112525,1.6531374014340916,1.6561309997852032,1.6644012139393731,1.6532182546762322,1.6509739600695095,1.6424433258863598,1.636391482903407,1.6280102922366215,1.6301813309009259
n_encoder_lyrs=12,1.655884030232063,1.6572826843995316,1.6571821432847245,1.6577955640279327,1.655124963246859,1.6435053816208474,1.6406127425340504,1.6372498668157136,1.6297778111237746,1.6466466096731334
