,ffn=8,ffn=16,ffn=32,ffn=64,ffn=128,ffn=256,ffn=512,ffn=1024,ffn=2048,ffn=4096
n_heads=2,1.6547616821068984,1.6568938154440662,1.6624885925879844,1.6603170037269592,1.6601314067840576,1.6407498341340285,1.633459421304556,1.6301150927176842,1.625802141886491,1.6286717607424808
n_heads=5,1.6473275193801293,1.6533171653747558,1.6577541213769176,1.65624528664809,1.656836540882404,1.6485224301998431,1.6422055061046894,1.6287332002933208,1.624206676849952,1.6318787519748394
n_heads=10,1.6531540219600385,1.6523680852009701,1.6600183276029732,1.6594232238256013,1.6620230766443107,1.64731125831604,1.6375956278580883,1.6410140569393452,1.6333078320209797,1.6269573376728939
