,n_decoder_lyrs=2,n_decoder_lyrs=4,n_decoder_lyrs=6,n_decoder_lyrs=8,n_decoder_lyrs=10,n_decoder_lyrs=12
n_encoder_lyrs=2,1.658063368613903,1.6465207365842969,1.6252287296148449,1.6234433660140404,1.6290019007829517,1.6357570189696091
n_encoder_lyrs=4,1.6555455317864052,1.6375697631102342,1.6259558072456943,1.6254647933519806,1.6239541723177982,1.635981396528391
n_encoder_lyrs=6,1.6549585003119252,1.635067473925077,1.6313912703440738,1.6236957430839538,1.6351109743118286,1.626103476377634
n_encoder_lyrs=8,1.6582074156174293,1.6361042224443874,1.626433880512531,1.6346997710374684,1.6423917449437653,1.6297159433364867
n_encoder_lyrs=10,1.6600960749846236,1.6322417827752917,1.6236731309157153,1.6434301046224742,1.6425380945205688,1.6394026196919955
n_encoder_lyrs=12,1.6635708084473244,1.6377209113194393,1.635117035645705,1.6415023592802194,1.6449977278709411,1.6494306582670943
