,ffn=8,ffn=16,ffn=32,ffn=64,ffn=128,ffn=256,ffn=512,ffn=1024,ffn=2048,ffn=4096
n_heads=2,1.7289421402491059,1.7290481750781719,1.7281387549180252,1.7298780092826256,1.7278492047236516,1.7273909880564766,1.7251752908413227,1.7272480616202721,1.7259919588382426,1.7219723096260657
n_heads=5,1.7198164343833924,1.7177142308308526,1.7221189343012298,1.7205595099009003,1.7206126176393948,1.7172291003740754,1.7147597487156208,1.7099499693283668,1.7138983763181248,1.7046449276117177
n_heads=10,1.7087858090033898,1.7089607999874996,1.7101559464748088,1.7075249809485213,1.709563771577982,1.7046582698822017,1.7062316289314858,1.703968750513517,1.6993909606566795,1.6976079161350544
