,ffn=8,ffn=16,ffn=32,ffn=64,ffn=128,ffn=256,ffn=512,ffn=1024,ffn=2048,ffn=4096
n_decoder_lyrs=2,1.7289031661473788,1.7270263039148772,1.7273789763450622,1.7270711458646333,1.7243779219113864,1.7268087680523212,1.7210259712659397,1.7179366927880508,1.7206833032461315,1.7077729050929729
n_decoder_lyrs=4,1.7235354212614205,1.7176919038479146,1.719335383635301,1.7139852853921742,1.7198738694190978,1.720620641341576,1.7135052818518421,1.716727610734793,1.7046253222685592,1.715815575306232
n_decoder_lyrs=6,1.7204952570108265,1.7190915171916668,1.7188057165879471,1.7176178702941307,1.7192532420158386,1.718850233921638,1.7131470130040096,1.7111265109135556,1.706839720102457,1.7087099423775307
n_decoder_lyrs=8,1.7210350311719451,1.7210136386064385,1.720317225272839,1.7176041217950675,1.719589165540842,1.7211121852581317,1.716370701789856,1.711422574520111,1.708327228289384,1.7096298309472893
n_decoder_lyrs=10,1.7197341157839847,1.7214517144056465,1.7178484228941109,1.7199069307400632,1.7169544421709504,1.7187766405252312,1.7160499435204728,1.7131180130518397,1.712911343574524,1.7110112868822536
n_decoder_lyrs=12,1.7212808581498955,1.7228743754900422,1.7216849868114177,1.7199095368385315,1.7191728527729324,1.7158731112113366,1.7184877276420594,1.7153439815227802,1.7134002364598788,1.7112634081106919
