,dropout_p=0.0,dropout_p=0.1,dropout_p=0.2,dropout_p=0.30000000000000004,dropout_p=0.4,dropout_p=0.5
n_decoder_lyrs=2,1.6791464191216687,1.7070734335825992,1.7288760671248802,1.7326614810870242,1.734737796966846,1.740109263933622
n_decoder_lyrs=4,1.6838756983096783,1.7002372567470256,1.723817972953503,1.7326479444136986,1.7352279039529652,1.7402143872701203
n_decoder_lyrs=6,1.6981150040259727,1.7111851462951073,1.728084844809312,1.7325561532607445,1.7349577243511494,1.7402330040931702
n_decoder_lyrs=8,1.7082006940474876,1.7094968309769265,1.7249947969730084,1.7323258115695073,1.734884416140043,1.739987603517679
n_decoder_lyrs=10,1.7101451305242683,1.7142663038693944,1.7241679035700286,1.733237634255336,1.735710542018597,1.7394807998950665
n_decoder_lyrs=12,1.7087801218032836,1.710500873052157,1.7269219050040612,1.7327188831109264,1.7353820654062126,1.7402917375931373
