,ffn=8,ffn=16,ffn=32,ffn=64,ffn=128,ffn=256,ffn=512,ffn=1024,ffn=2048,ffn=4096
n_decoder_lyrs=2,1.7295113215079674,1.7281095376381508,1.7280992141136757,1.725201184933002,1.7278494422252362,1.7283071939761823,1.7240524136103115,1.7142277552531315,1.7184404739966763,1.7177267670631409
n_decoder_lyrs=4,1.7230536378346955,1.718021681675544,1.721301223681523,1.7228018641471863,1.7196375076587387,1.7218457341194153,1.7184514981049759,1.711571908914126,1.7173029927107006,1.7201312771210304
n_decoder_lyrs=6,1.7252200053288387,1.7193724586413457,1.7193173949535077,1.7165409656671375,1.7202728390693665,1.7155511617660522,1.7148824407504155,1.7103772383469802,1.7098504873422478,1.7067606458297147
n_decoder_lyrs=8,1.7213674976275517,1.720701103944045,1.7201628694167503,1.719525556380932,1.7153640554501461,1.7179573838527387,1.714740765094757,1.7145096210333015,1.710475622690641,1.7121057941363407
n_decoder_lyrs=10,1.7198896591479962,1.7214563571489774,1.7203314515260548,1.7211726711346553,1.7199216695932242,1.7187832318819485,1.7174291271429794,1.7104369035133948,1.712347437785222,1.7119586247664234
n_decoder_lyrs=12,1.7160150858072132,1.7190557718276978,1.7215683854543247,1.7206414873783404,1.7195666881708,1.7167446705011222,1.7133292895097,1.7134550443062415,1.7130409983488228,1.7102864907338067
