,ffn=8,ffn=16,ffn=32,ffn=64,ffn=128,ffn=256,ffn=512,ffn=1024,ffn=2048,ffn=4096
n_experts=2,1.7206332674393288,1.7216037814433758,1.7183898742382344,1.7185813170212962,1.7196767632777874,1.7158224527652446,1.7167192835074203,1.7143011551636917,1.7107124383632955,1.7115843011782719
n_experts=3,1.7212837512676533,1.718901679149041,1.7200969879443828,1.721710820381458,1.7174854021805985,1.719361294232882,1.7154296077214752,1.7115646261435287,1.7103410977583664,1.7103541511755727
n_experts=4,1.7193769115668076,1.7180682815038242,1.7201833394857555,1.72125696677428,1.7162999602464528,1.7143764624228843,1.7148652507708626,1.7087644457817077,1.7096781519743112,1.7120448369246262
n_experts=5,1.7226743377172031,1.7210384268027084,1.7205633961237392,1.7176117961223312,1.7205204881154572,1.7117094149956338,1.7121135748349705,1.7168725618949303,1.715526436842405,1.7057516611539403
n_experts=6,1.7219430052317104,1.7186496248612038,1.7207585050509526,1.7201802721390358,1.7202190646758446,1.7141307775790875,1.7118079689832832,1.717904005600856,1.7094166590617252,1.708203332240765
