,dropout_p=0.0,dropout_p=0.1,dropout_p=0.2,dropout_p=0.30000000000000004,dropout_p=0.4,dropout_p=0.5
n_decoder_lyrs=2,1.6805783400168786,1.720876774421105,1.730198795061845,1.7326976950352009,1.7353473232342644,1.739889397070958
n_decoder_lyrs=4,1.6858406782150268,1.708898749718299,1.7259949225645799,1.7329271930914658,1.7351145909382748,1.7400618727390582
n_decoder_lyrs=6,1.695676985153785,1.716671479665316,1.7298807529302742,1.73278264265794,1.735170261676495,1.7414578960492062
n_decoder_lyrs=8,1.7061990609535804,1.7112034311661355,1.7328637526585506,1.7327768582564134,1.7350141020921561,1.740422821044922
n_decoder_lyrs=10,1.7098071529315066,1.7132185037319476,1.7289091541216925,1.7338780329777645,1.735204034585219,1.7402773279410142
n_decoder_lyrs=12,1.7119942683439988,1.711908931915577,1.7242809570752655,1.7328314478580769,1.734846503917988,1.7410896503008328
