,n_experts=2,n_experts=3,n_experts=4,n_experts=5,n_experts=6
n_decoder_lyrs=2,1.7140576839447021,1.7151213462536152,1.7245792067967929,1.7100234215076153,1.7267083268899186
n_decoder_lyrs=4,1.707636426962339,1.7152395395132214,1.7069652089705833,1.7161620323474591,1.721699506502885
n_decoder_lyrs=6,1.7161641826996437,1.7044628280859726,1.7142516933954677,1.7083003805233883,1.7137253963030303
n_decoder_lyrs=8,1.7125669387670666,1.7097743107722354,1.7086724831507756,1.7090730731303876,1.7099316633664643
n_decoder_lyrs=10,1.7112364530563355,1.7112909408716057,1.7099030421330377,1.711877672488873,1.7124339864804194
n_decoder_lyrs=12,1.712127618606274,1.711263570418725,1.7120719588719884,1.7111821834857648,1.7110949241198028
